label,year,round,model,picked,actual_pos,fantasy_pts
full_2010_eraon,2025,1,ridge,tsunoda,12,15
full_2010_eraon,2025,1,rf_reg,sainz,18,2
full_2010_eraon,2025,1,rf_clf,alonso,17,4
full_2010_eraon,2025,1,xgb_reg,antonelli,4,6
full_2010_eraon,2025,1,xgb_clf,hadjar,20,0
full_2010_eraon,2025,1,xgb_ranker,bortoleto,16,6
full_2010_eraon,2025,1,lgb_reg,hadjar,20,0
full_2010_eraon,2025,1,lgbm_ranker,bortoleto,16,6
full_2010_eraon,2025,1,ensemble,bortoleto,16,6
full_2010_eraon,2025,2,ridge,hadjar,11,18
full_2010_eraon,2025,2,rf_reg,albon,7,12
full_2010_eraon,2025,2,rf_clf,hulkenberg,15,8
full_2010_eraon,2025,2,xgb_reg,tsunoda,16,6
full_2010_eraon,2025,2,xgb_clf,gasly,20,0
full_2010_eraon,2025,2,xgb_ranker,albon,7,12
full_2010_eraon,2025,2,lgb_reg,hadjar,11,18
full_2010_eraon,2025,2,lgbm_ranker,albon,7,12
full_2010_eraon,2025,2,ensemble,albon,7,12
full_2010_eraon,2025,3,ridge,sainz,14,10
full_2010_eraon,2025,3,rf_reg,hamilton,7,12
full_2010_eraon,2025,3,rf_clf,bearman,10,25
full_2010_eraon,2025,3,xgb_reg,sainz,14,10
full_2010_eraon,2025,3,xgb_clf,bearman,10,25
full_2010_eraon,2025,3,xgb_ranker,bearman,10,25
full_2010_eraon,2025,3,lgb_reg,hamilton,7,12
full_2010_eraon,2025,3,lgbm_ranker,hamilton,7,12
full_2010_eraon,2025,3,ensemble,bearman,10,25
full_2010_eraon,2025,4,ridge,gasly,7,12
full_2010_eraon,2025,4,rf_reg,sainz,19,1
full_2010_eraon,2025,4,rf_clf,hadjar,13,12
full_2010_eraon,2025,4,xgb_reg,tsunoda,9,18
full_2010_eraon,2025,4,xgb_clf,hadjar,13,12
full_2010_eraon,2025,4,xgb_ranker,hadjar,13,12
full_2010_eraon,2025,4,lgb_reg,tsunoda,9,18
full_2010_eraon,2025,4,lgbm_ranker,hamilton,5,8
full_2010_eraon,2025,4,ensemble,hadjar,13,12
full_2010_eraon,2025,5,ridge,tsunoda,19,1
full_2010_eraon,2025,5,rf_reg,tsunoda,19,1
full_2010_eraon,2025,5,rf_clf,albon,9,18
full_2010_eraon,2025,5,xgb_reg,tsunoda,19,1
full_2010_eraon,2025,5,xgb_clf,albon,9,18
full_2010_eraon,2025,5,xgb_ranker,albon,9,18
full_2010_eraon,2025,5,lgb_reg,tsunoda,19,1
full_2010_eraon,2025,5,lgbm_ranker,albon,9,18
full_2010_eraon,2025,5,ensemble,albon,9,18
full_2010_eraon,2025,6,ridge,hamilton,8,15
full_2010_eraon,2025,6,rf_reg,hamilton,8,15
full_2010_eraon,2025,6,rf_clf,hadjar,11,18
full_2010_eraon,2025,6,xgb_reg,tsunoda,10,25
full_2010_eraon,2025,6,xgb_clf,hadjar,11,18
full_2010_eraon,2025,6,xgb_ranker,hadjar,11,18
full_2010_eraon,2025,6,lgb_reg,tsunoda,10,25
full_2010_eraon,2025,6,lgbm_ranker,hamilton,8,15
full_2010_eraon,2025,6,ensemble,hadjar,11,18
full_2010_eraon,2025,7,ridge,hamilton,4,6
full_2010_eraon,2025,7,rf_reg,alonso,11,18
full_2010_eraon,2025,7,rf_clf,hadjar,9,18
full_2010_eraon,2025,7,xgb_reg,antonelli,19,1
full_2010_eraon,2025,7,xgb_clf,hadjar,9,18
full_2010_eraon,2025,7,xgb_ranker,hadjar,9,18
full_2010_eraon,2025,7,lgb_reg,albon,5,8
full_2010_eraon,2025,7,lgbm_ranker,hadjar,9,18
full_2010_eraon,2025,7,ensemble,hadjar,9,18
full_2010_eraon,2025,8,ridge,hadjar,6,10
full_2010_eraon,2025,8,rf_reg,russell,11,18
full_2010_eraon,2025,8,rf_clf,albon,9,18
full_2010_eraon,2025,8,xgb_reg,ocon,7,12
full_2010_eraon,2025,8,xgb_clf,albon,9,18
full_2010_eraon,2025,8,xgb_ranker,hadjar,6,10
full_2010_eraon,2025,8,lgb_reg,ocon,7,12
full_2010_eraon,2025,8,lgbm_ranker,albon,9,18
full_2010_eraon,2025,8,ensemble,albon,9,18
full_2010_eraon,2025,9,ridge,albon,19,1
full_2010_eraon,2025,9,rf_reg,hadjar,7,12
full_2010_eraon,2025,9,rf_clf,albon,19,1
full_2010_eraon,2025,9,xgb_reg,gasly,8,15
full_2010_eraon,2025,9,xgb_clf,hadjar,7,12
full_2010_eraon,2025,9,xgb_ranker,hadjar,7,12
full_2010_eraon,2025,9,lgb_reg,hadjar,7,12
full_2010_eraon,2025,9,lgbm_ranker,bortoleto,12,15
full_2010_eraon,2025,9,ensemble,hadjar,7,12
full_2010_eraon,2025,10,ridge,alonso,7,12
full_2010_eraon,2025,10,rf_reg,albon,20,0
full_2010_eraon,2025,10,rf_clf,hadjar,16,6
full_2010_eraon,2025,10,xgb_reg,tsunoda,12,15
full_2010_eraon,2025,10,xgb_clf,hadjar,16,6
full_2010_eraon,2025,10,xgb_ranker,hadjar,16,6
full_2010_eraon,2025,10,lgb_reg,albon,20,0
full_2010_eraon,2025,10,lgbm_ranker,hadjar,16,6
full_2010_eraon,2025,10,ensemble,hadjar,16,6
full_2010_eraon,2025,11,ridge,antonelli,19,1
full_2010_eraon,2025,11,rf_reg,antonelli,19,1
full_2010_eraon,2025,11,rf_clf,albon,17,4
full_2010_eraon,2025,11,xgb_reg,tsunoda,16,6
full_2010_eraon,2025,11,xgb_clf,tsunoda,16,6
full_2010_eraon,2025,11,xgb_ranker,colapinto,15,8
full_2010_eraon,2025,11,lgb_reg,albon,17,4
full_2010_eraon,2025,11,lgbm_ranker,bortoleto,8,15
full_2010_eraon,2025,11,ensemble,hadjar,12,15
full_2010_eraon,2025,12,ridge,bearman,11,18
full_2010_eraon,2025,12,rf_reg,bearman,11,18
full_2010_eraon,2025,12,rf_clf,bearman,11,18
full_2010_eraon,2025,12,xgb_reg,bearman,11,18
full_2010_eraon,2025,12,xgb_clf,hadjar,17,4
full_2010_eraon,2025,12,xgb_ranker,hadjar,17,4
full_2010_eraon,2025,12,lgb_reg,bearman,11,18
full_2010_eraon,2025,12,lgbm_ranker,hadjar,17,4
full_2010_eraon,2025,12,ensemble,hadjar,17,4
full_2010_eraon,2025,13,ridge,tsunoda,13,12
full_2010_eraon,2025,13,rf_reg,hamilton,7,12
full_2010_eraon,2025,13,rf_clf,ocon,15,8
full_2010_eraon,2025,13,xgb_reg,albon,6,10
full_2010_eraon,2025,13,xgb_clf,bearman,11,18
full_2010_eraon,2025,13,xgb_ranker,gasly,10,25
full_2010_eraon,2025,13,lgb_reg,albon,6,10
full_2010_eraon,2025,13,lgbm_ranker,gasly,10,25
full_2010_eraon,2025,13,ensemble,gasly,10,25
full_2010_eraon,2025,14,ridge,hamilton,12,15
full_2010_eraon,2025,14,rf_reg,bortoleto,6,10
full_2010_eraon,2025,14,rf_clf,hadjar,11,18
full_2010_eraon,2025,14,xgb_reg,stroll,7,12
full_2010_eraon,2025,14,xgb_clf,lawson,8,15
full_2010_eraon,2025,14,xgb_ranker,tsunoda,17,4
full_2010_eraon,2025,14,lgb_reg,alonso,5,8
full_2010_eraon,2025,14,lgbm_ranker,tsunoda,17,4
full_2010_eraon,2025,14,ensemble,tsunoda,17,4
full_2010_eraon,2025,15,ridge,lawson,12,15
full_2010_eraon,2025,15,rf_reg,lawson,12,15
full_2010_eraon,2025,15,rf_clf,alonso,8,15
full_2010_eraon,2025,15,xgb_reg,lawson,12,15
full_2010_eraon,2025,15,xgb_clf,alonso,8,15
full_2010_eraon,2025,15,xgb_ranker,antonelli,16,6
full_2010_eraon,2025,15,lgb_reg,lawson,12,15
full_2010_eraon,2025,15,lgbm_ranker,antonelli,16,6
full_2010_eraon,2025,15,ensemble,antonelli,16,6
full_2010_eraon,2025,16,ridge,antonelli,9,18
full_2010_eraon,2025,16,rf_reg,alonso,19,1
full_2010_eraon,2025,16,rf_clf,albon,7,12
full_2010_eraon,2025,16,xgb_reg,tsunoda,13,12
full_2010_eraon,2025,16,xgb_clf,albon,7,12
full_2010_eraon,2025,16,xgb_ranker,albon,7,12
full_2010_eraon,2025,16,lgb_reg,tsunoda,13,12
full_2010_eraon,2025,16,lgbm_ranker,albon,7,12
full_2010_eraon,2025,16,ensemble,albon,7,12
full_2010_eraon,2025,17,ridge,tsunoda,6,10
full_2010_eraon,2025,17,rf_reg,hadjar,10,25
full_2010_eraon,2025,17,rf_clf,stroll,17,4
full_2010_eraon,2025,17,xgb_reg,alonso,15,8
full_2010_eraon,2025,17,xgb_clf,hulkenberg,16,6
full_2010_eraon,2025,17,xgb_ranker,bortoleto,11,18
full_2010_eraon,2025,17,lgb_reg,leclerc,9,18
full_2010_eraon,2025,17,lgbm_ranker,bearman,12,15
full_2010_eraon,2025,17,ensemble,bortoleto,11,18
full_2010_eraon,2025,18,ridge,hadjar,11,18
full_2010_eraon,2025,18,rf_reg,hadjar,11,18
full_2010_eraon,2025,18,rf_clf,tsunoda,12,15
full_2010_eraon,2025,18,xgb_reg,tsunoda,12,15
full_2010_eraon,2025,18,xgb_clf,stroll,13,12
full_2010_eraon,2025,18,xgb_ranker,hadjar,11,18
full_2010_eraon,2025,18,lgb_reg,antonelli,5,8
full_2010_eraon,2025,18,lgbm_ranker,ocon,18,2
full_2010_eraon,2025,18,ensemble,hadjar,11,18
full_2010_eraon,2025,19,ridge,antonelli,13,12
full_2010_eraon,2025,19,rf_reg,sainz,20,0
full_2010_eraon,2025,19,rf_clf,tsunoda,7,12
full_2010_eraon,2025,19,xgb_reg,sainz,20,0
full_2010_eraon,2025,19,xgb_clf,tsunoda,7,12
full_2010_eraon,2025,19,xgb_ranker,lawson,11,18
full_2010_eraon,2025,19,lgb_reg,tsunoda,7,12
full_2010_eraon,2025,19,lgbm_ranker,gasly,19,1
full_2010_eraon,2025,19,ensemble,lawson,11,18
full_2010_eraon,2025,20,ridge,sainz,17,4
full_2010_eraon,2025,20,rf_reg,sainz,17,4
full_2010_eraon,2025,20,rf_clf,bearman,4,6
full_2010_eraon,2025,20,xgb_reg,tsunoda,11,18
full_2010_eraon,2025,20,xgb_clf,tsunoda,11,18
full_2010_eraon,2025,20,xgb_ranker,tsunoda,11,18
full_2010_eraon,2025,20,lgb_reg,tsunoda,11,18
full_2010_eraon,2025,20,lgbm_ranker,ocon,9,18
full_2010_eraon,2025,20,ensemble,ocon,9,18
full_2010_eraon,2025,21,ridge,max_verstappen,3,4
full_2010_eraon,2025,21,rf_reg,hamilton,18,2
full_2010_eraon,2025,21,rf_clf,albon,11,18
full_2010_eraon,2025,21,xgb_reg,max_verstappen,3,4
full_2010_eraon,2025,21,xgb_clf,tsunoda,17,4
full_2010_eraon,2025,21,xgb_ranker,albon,11,18
full_2010_eraon,2025,21,lgb_reg,tsunoda,17,4
